Name,Age,Department,Salary,Performance_Score,Years_At_Company
Mona,22.0,Sales,65411,86.0,9
Hassan,30.0,Sales,106661,84.0,7
Fahad,27.0,IT,117030,81.0,11
Noor,27.0,Sales,85444,69.0,4
Lina,32.0,IT,117581,92.0,9
Ali,35.0,IT,117983,89.0,3
Zara,26.0,IT,56238,89.0,2
Khalid,,Marketing,71703,75.0,8
Fahad,27.0,Marketing,65196,68.0,5
Hassan,25.0,Sales,107221,76.0,11
Fahad,33.0,Marketing,42738,94.0,0
Noor,30.0,Sales,45772,74.0,13
Omar,39.0,Marketing,95270,87.0,7
Ali,34.0,HR,106169,79.0,9
Ali,39.0,HR,53492,92.0,1
Khalid,23.0,Sales,84979,92.0,12
Omar,14.0,Marketing,80338,95.0,8
Mona,31.0,Marketing,94551,72.0,10
Sara,31.0,IT,66855,63.0,6
Zara,29.0,Finance,36228,82.0,2
Ali,,Sales,98367,67.0,3
Lina,24.0,Finance,50045,72.0,2
Ali,33.0,Finance,113668,83.0,5
Fahad,34.0,Sales,106591,99.0,8
Ali,24.0,Marketing,54318,89.0,9
Ali,28.0,Sales,88458,89.0,8
Sara,29.0,Finance,43795,84.0,0
Sara,27.0,Marketing,115184,92.0,9
Hassan,24.0,HR,84524,68.0,5
Mona,30.0,Sales,117694,85.0,0
Lina,31.0,Sales,51747,83.0,10
Ali,27.0,Marketing,118770,92.0,3
Ali,,HR,77373,98.0,6
Zara,32.0,HR,61560,84.0,3
Sara,26.0,Marketing,41282,74.0,8
Lina,,IT,63831,100.0,13
Khalid,28.0,Sales,93073,100.0,9
Hassan,36.0,Sales,53043,65.0,4
Mona,26.0,Finance,95322,79.0,13
Omar,39.0,Marketing,82900,75.0,8
Mona,34.0,Finance,50929,,0
Fahad,39.0,Finance,65500,74.0,12
Ali,33.0,HR,31872,98.0,11
Hassan,29.0,Sales,67488,63.0,13
Fahad,25.0,Finance,97505,83.0,3
Lina,,HR,55460,62.0,6
Omar,37.0,Marketing,42155,60.0,12
Sara,30.0,Finance,41870,89.0,1
Hassan,33.0,Sales,33717,72.0,14
Hassan,31.0,Finance,31374,77.0,8
Ali,31.0,Marketing,51826,99.0,2
Noor,31.0,Finance,104215,70.0,3
Hassan,32.0,Sales,43427,88.0,11
Zara,26.0,HR,94442,63.0,13
Omar,,Sales,119100,84.0,14
Omar,32.0,HR,64708,95.0,14
Zara,31.0,IT,54271,95.0,3
Khalid,28.0,Sales,93572,99.0,7
Zara,32.0,Sales,46631,87.0,1
Zara,26.0,Marketing,49887,67.0,4
Omar,24.0,Finance,55259,80.0,1
Mona,31.0,HR,87987,94.0,11
Omar,24.0,HR,79630,77.0,5
Noor,31.0,Marketing,49144,84.0,8
Ali,20.0,Marketing,108191,100.0,11
Fahad,26.0,Finance,79060,64.0,8
Mona,28.0,Finance,85092,67.0,13
Sara,22.0,Sales,50836,82.0,0
Fahad,28.0,IT,96904,62.0,3
Ali,36.0,Finance,74456,96.0,3
Noor,24.0,Marketing,66380,90.0,0
Noor,28.0,Finance,107735,88.0,9
Sara,39.0,HR,41569,100.0,1
Mona,25.0,IT,61182,79.0,5
Khalid,37.0,Sales,108651,62.0,9
Zara,29.0,HR,51649,82.0,14
Mona,31.0,HR,113731,99.0,2
Khalid,36.0,IT,57003,,8
Noor,28.0,Sales,46551,72.0,2
Omar,33.0,Marketing,53826,67.0,2
Ali,34.0,Sales,54729,64.0,14
Sara,27.0,Finance,81696,84.0,8
Ali,26.0,HR,33868,98.0,2
Lina,29.0,Finance,71274,96.0,5
Lina,29.0,Marketing,68718,100.0,5
Mona,25.0,Finance,62353,64.0,0
Noor,27.0,Sales,71682,67.0,12
Noor,13.0,Finance,60653,63.0,12
Zara,28.0,Marketing,44141,100.0,6
Zara,34.0,Marketing,41537,81.0,8
Zara,22.0,Marketing,60401,73.0,8
Omar,28.0,Sales,57387,78.0,8
Fahad,,Marketing,111690,72.0,1
Hassan,30.0,HR,36630,94.0,0
Fahad,37.0,Marketing,73461,63.0,5
Ali,,Finance,110314,92.0,5
Fahad,32.0,Finance,74293,81.0,3
Omar,24.0,Finance,53070,60.0,12
Ali,32.0,Sales,43416,70.0,7
Fahad,,Finance,38629,75.0,4
Omar,33.0,Sales,93444,63.0,6
Hassan,28.0,Sales,38360,88.0,8
Fahad,31.0,Marketing,42011,98.0,12
Omar,31.0,HR,70721,97.0,0
Zara,33.0,Marketing,66069,83.0,8
Noor,29.0,Marketing,83270,68.0,12
Zara,35.0,Sales,41227,67.0,12
Noor,37.0,Sales,69587,73.0,3
Sara,28.0,Finance,91720,74.0,6
Sara,30.0,Finance,74550,81.0,10
Sara,25.0,Marketing,98305,96.0,3
Hassan,32.0,IT,106028,74.0,3
Zara,32.0,IT,83651,65.0,12
Noor,30.0,Finance,81332,60.0,14
Omar,31.0,IT,98881,79.0,13
Ali,40.0,Finance,98201,100.0,14
Omar,,Sales,54807,95.0,3
Ali,28.0,Marketing,73552,61.0,5
Lina,28.0,HR,107902,65.0,4
Omar,37.0,Marketing,104861,61.0,1
Fahad,32.0,Finance,100976,62.0,8
Fahad,32.0,Finance,87300,66.0,10
Mona,36.0,Marketing,56951,79.0,5
Zara,29.0,Finance,50264,100.0,9
Ali,33.0,IT,49121,100.0,5
Ali,27.0,IT,114351,64.0,8
Zara,25.0,Finance,80539,84.0,0
Hassan,39.0,Finance,60311,97.0,6
Mona,32.0,IT,72397,77.0,2
Hassan,33.0,Finance,49749,60.0,3
Hassan,25.0,Finance,59218,84.0,0
Hassan,33.0,Marketing,111069,76.0,2
Zara,,HR,81591,74.0,13
Hassan,29.0,IT,74133,64.0,13
Fahad,,Marketing,74867,76.0,13
Sara,31.0,HR,31316,80.0,6
Lina,,Finance,67972,82.0,13
Ali,22.0,Finance,116924,69.0,5
Ali,26.0,Marketing,109048,76.0,12
Lina,28.0,Finance,96220,60.0,0
Zara,25.0,Sales,107271,96.0,14
Omar,37.0,Marketing,72635,66.0,8
Zara,39.0,HR,81265,71.0,3
Ali,33.0,Marketing,80109,99.0,6
Ali,32.0,IT,78797,60.0,3
Lina,29.0,Marketing,38079,79.0,6
Hassan,26.0,Finance,90887,90.0,4
Zara,38.0,Finance,52412,63.0,0
Noor,,Sales,65862,85.0,14
Lina,28.0,Sales,114727,71.0,3
Fahad,35.0,Sales,44821,81.0,14
Ali,,HR,103118,60.0,2
Lina,35.0,Sales,104548,60.0,5
Zara,28.0,HR,63655,62.0,5
Ali,35.0,Sales,74688,71.0,0
Omar,35.0,HR,84576,80.0,13
Lina,37.0,Marketing,110066,72.0,13
Mona,26.0,Marketing,115913,72.0,10
Ali,30.0,Finance,82236,100.0,1
Zara,40.0,HR,75221,77.0,12
Sara,29.0,IT,117189,92.0,11
Noor,34.0,Finance,115916,65.0,1
Khalid,41.0,Marketing,96092,84.0,11
Hassan,21.0,HR,84445,,9
Khalid,29.0,Sales,38900,83.0,13
Zara,30.0,IT,63485,96.0,3
Fahad,21.0,Marketing,43891,85.0,12
Fahad,28.0,Finance,45014,63.0,8
Sara,25.0,HR,102083,97.0,10
Hassan,34.0,IT,67964,94.0,1
Mona,21.0,HR,81171,70.0,10
Sara,39.0,Sales,74739,95.0,7
Khalid,33.0,Finance,115799,84.0,10
Sara,25.0,HR,114856,79.0,11
Khalid,35.0,Marketing,73374,60.0,0
Ali,33.0,Finance,69459,89.0,11
Fahad,30.0,Marketing,37045,63.0,7
Ali,26.0,HR,73255,82.0,2
Noor,33.0,Finance,81965,94.0,13
Hassan,31.0,Marketing,31237,81.0,14
Mona,27.0,Sales,82195,90.0,4
Khalid,23.0,Sales,66326,60.0,0
Mona,26.0,HR,35293,,0
Khalid,27.0,Finance,55274,78.0,5
Zara,36.0,IT,49237,89.0,2
Sara,,Finance,108347,60.0,7
Noor,28.0,Sales,48229,78.0,3
Fahad,28.0,Marketing,108847,80.0,5
Khalid,35.0,IT,118576,81.0,12
Mona,31.0,HR,86718,61.0,9
Noor,31.0,IT,98718,65.0,11
Omar,26.0,HR,79615,80.0,8
Omar,29.0,IT,101296,92.0,13
Ali,30.0,HR,102796,78.0,7
Fahad,30.0,HR,31915,86.0,3
Zara,34.0,IT,104651,96.0,9
Mona,34.0,IT,82774,88.0,7
Sara,25.0,HR,37076,,14
Sara,27.0,Sales,110350,93.0,6
Mona,27.0,IT,63083,60.0,4
Hassan,37.0,Finance,83918,84.0,6
Zara,41.0,Marketing,34793,80.0,6
Noor,28.0,HR,80528,93.0,13
Khalid,29.0,HR,96798,85.0,12
Hassan,34.0,Marketing,39319,95.0,9
Khalid,26.0,Sales,43194,94.0,1
Khalid,34.0,Marketing,49309,82.0,6
Hassan,30.0,IT,88396,76.0,2
Ali,21.0,Marketing,56998,71.0,7
Omar,23.0,HR,33468,79.0,7
Khalid,28.0,Marketing,42651,98.0,8
Hassan,36.0,Finance,50405,86.0,10
Hassan,26.0,IT,44482,96.0,3
Lina,27.0,Marketing,34409,79.0,9
Ali,31.0,HR,96083,70.0,2
Fahad,22.0,IT,115443,87.0,8
Lina,31.0,HR,53426,61.0,8
Lina,22.0,Sales,84757,83.0,1
Mona,33.0,Finance,44436,75.0,5
Omar,26.0,Sales,46490,71.0,2
Hassan,25.0,Finance,82136,75.0,4
Omar,31.0,Marketing,58962,95.0,1
Zara,34.0,IT,59288,61.0,14
Mona,32.0,Marketing,52236,84.0,3
Fahad,31.0,Finance,44923,88.0,10
Omar,31.0,Finance,96786,87.0,2
Sara,32.0,Finance,85891,69.0,1
Khalid,,HR,43264,82.0,5
Zara,28.0,IT,97147,91.0,10
Ali,33.0,Marketing,37928,90.0,2
Fahad,26.0,Marketing,64558,78.0,3
Zara,,Sales,86369,74.0,5
Khalid,34.0,Finance,96403,92.0,11
Mona,41.0,Finance,75213,76.0,12
Khalid,33.0,Finance,33816,95.0,11
Lina,35.0,Marketing,65916,79.0,14
Khalid,22.0,Sales,77838,68.0,4
Lina,35.0,HR,41573,97.0,3
Mona,36.0,IT,73334,62.0,12
Noor,38.0,HR,114475,61.0,13
Lina,31.0,Marketing,95364,77.0,11
Ali,28.0,Finance,43157,82.0,3
Khalid,25.0,IT,39322,78.0,1
Khalid,25.0,Marketing,32482,66.0,11
Ali,30.0,Marketing,65867,94.0,12
Sara,21.0,Marketing,109211,79.0,9
Hassan,26.0,IT,107271,79.0,12
Noor,30.0,IT,109386,78.0,3
Fahad,30.0,Sales,36732,100.0,11
Lina,,Sales,70753,75.0,7
Ali,24.0,HR,64422,97.0,4
Mona,25.0,IT,106964,80.0,13
Lina,29.0,IT,86284,88.0,13
Hassan,41.0,IT,41311,97.0,14
Mona,35.0,Sales,99269,83.0,13
Zara,31.0,Marketing,69579,96.0,10
Khalid,33.0,Finance,103878,88.0,9
Zara,35.0,Sales,106000,90.0,9
Lina,33.0,IT,78514,98.0,7
Hassan,28.0,Sales,75311,71.0,5
Noor,26.0,HR,40300,,11
Lina,29.0,IT,95375,63.0,9
Ali,35.0,HR,64563,89.0,4
Omar,29.0,IT,78960,64.0,3
Lina,24.0,Sales,109244,75.0,9
Khalid,21.0,Marketing,58090,86.0,8
Khalid,,Finance,46328,63.0,9
Lina,25.0,HR,56654,67.0,13
Mona,28.0,Sales,36214,67.0,4
Omar,37.0,Marketing,87740,76.0,9
Ali,30.0,Sales,94949,62.0,14
Lina,26.0,HR,68913,86.0,10
Mona,32.0,Finance,57552,,5
Khalid,40.0,Sales,65377,80.0,14
Khalid,29.0,IT,55734,83.0,6
Hassan,,Marketing,48610,100.0,10
Lina,33.0,Sales,87607,88.0,11
Omar,,Marketing,109158,98.0,10
Sara,30.0,IT,58875,65.0,12
Omar,29.0,Finance,85082,73.0,0
Khalid,26.0,Finance,53226,73.0,8
Khalid,38.0,IT,57677,96.0,11
Zara,21.0,Marketing,40298,83.0,7
Khalid,28.0,Sales,65848,72.0,11
Ali,28.0,IT,93654,60.0,10
Fahad,34.0,HR,47744,71.0,14
Lina,36.0,Marketing,53434,83.0,4
Omar,29.0,Finance,78001,96.0,2
Fahad,31.0,IT,97262,,4
Mona,31.0,Finance,89633,65.0,4
Sara,35.0,Marketing,78917,71.0,8
Ali,35.0,Finance,109804,80.0,6
Omar,27.0,IT,76745,62.0,12
Fahad,32.0,Marketing,30907,86.0,1
Sara,32.0,HR,88602,95.0,4
Zara,29.0,IT,43764,76.0,8
Ali,32.0,Sales,54409,74.0,13
Ali,30.0,IT,38390,98.0,10
Zara,31.0,Marketing,60172,63.0,12
Lina,23.0,IT,70542,76.0,1
Zara,25.0,HR,77324,97.0,7
Ali,34.0,HR,78196,70.0,11
Ali,24.0,Sales,98901,71.0,2
Fahad,32.0,Finance,55836,91.0,3
Khalid,,Marketing,51663,86.0,1
Sara,35.0,Marketing,35951,86.0,8
Zara,33.0,Finance,45175,99.0,5
Sara,28.0,HR,41027,88.0,14
Zara,29.0,HR,105630,68.0,8
Mona,20.0,IT,118617,62.0,13
Ali,29.0,Sales,42167,98.0,14
Khalid,24.0,Sales,104305,88.0,10
Fahad,29.0,Sales,53060,80.0,12
Khalid,27.0,IT,96556,94.0,12
Khalid,26.0,Sales,107381,69.0,7
Khalid,36.0,Finance,40485,82.0,11
Sara,24.0,IT,103450,98.0,8
Zara,25.0,Finance,38802,84.0,4
Noor,27.0,IT,63314,83.0,5
Mona,28.0,Sales,78298,79.0,6
Omar,26.0,Finance,49565,74.0,4
Khalid,28.0,Finance,74233,80.0,0
Lina,32.0,Finance,115907,71.0,8
Sara,33.0,IT,78384,77.0,1
Fahad,33.0,Marketing,82485,82.0,6
Omar,20.0,Sales,114660,100.0,11
Noor,,Finance,108253,88.0,7
Lina,32.0,Marketing,92970,100.0,14
Noor,27.0,Sales,67669,95.0,7
Omar,38.0,Sales,56272,64.0,0
Khalid,35.0,Finance,41842,98.0,14
Lina,29.0,Finance,94099,85.0,9
Noor,27.0,IT,32082,98.0,6
Fahad,38.0,Marketing,83804,70.0,8
Zara,30.0,Marketing,56261,70.0,10
Ali,30.0,Finance,116506,77.0,13
Zara,,Sales,39795,71.0,13
Omar,42.0,Finance,75309,75.0,10
Sara,29.0,Sales,91456,86.0,2
Ali,30.0,Sales,50180,95.0,7
Mona,26.0,Finance,93288,76.0,7
Fahad,,HR,76335,80.0,8
Mona,25.0,Marketing,63268,96.0,7
Lina,26.0,Sales,96551,90.0,4
Ali,21.0,Sales,54489,94.0,4
Mona,34.0,HR,89398,86.0,2
Mona,31.0,IT,84470,82.0,11
Noor,31.0,HR,107402,91.0,5
Zara,30.0,HR,110808,76.0,9
Noor,30.0,Sales,62161,70.0,2
Ali,,Marketing,97635,60.0,13
Ali,26.0,HR,101922,87.0,1
Omar,31.0,IT,100874,77.0,6
Noor,,Finance,90361,100.0,9
Hassan,36.0,HR,103836,79.0,2
Zara,32.0,HR,90766,66.0,12
Ali,32.0,IT,51400,96.0,3
Omar,24.0,Marketing,54641,75.0,13
Noor,26.0,HR,82233,98.0,10
Zara,24.0,HR,99833,82.0,9
Noor,18.0,Marketing,49332,91.0,7
Mona,32.0,IT,45201,76.0,13
Omar,29.0,HR,75382,78.0,0
Zara,32.0,Marketing,76129,93.0,14
Khalid,30.0,HR,63808,73.0,8
Lina,31.0,Finance,108346,62.0,13
Lina,,Sales,103524,98.0,5
Zara,30.0,Finance,86625,84.0,1
Noor,33.0,HR,70327,70.0,2
Omar,28.0,IT,49579,74.0,4
Lina,34.0,Sales,51483,78.0,10
Omar,24.0,Finance,30503,74.0,11
Lina,21.0,Marketing,100880,74.0,5
Mona,41.0,IT,38947,97.0,8
Noor,39.0,Finance,39533,74.0,1
Mona,20.0,Marketing,77576,68.0,4
Lina,30.0,HR,70916,64.0,6
Khalid,31.0,Marketing,76923,78.0,10
Khalid,34.0,Finance,85162,83.0,11
Mona,39.0,Finance,110729,88.0,10
Khalid,25.0,HR,96917,64.0,6
Lina,25.0,Marketing,37012,81.0,3
Zara,30.0,Marketing,45213,72.0,2
Mona,25.0,HR,57563,88.0,12
Sara,16.0,Marketing,45212,75.0,7
Noor,29.0,HR,90188,95.0,12
Khalid,34.0,IT,76576,76.0,1
Khalid,30.0,Finance,40711,79.0,4
Ali,33.0,IT,39515,73.0,11
Hassan,32.0,Sales,50193,65.0,9
Mona,25.0,Sales,97667,81.0,14
Fahad,30.0,Sales,32424,99.0,4
Khalid,22.0,HR,74344,68.0,0
Noor,27.0,Marketing,93092,91.0,6
Sara,30.0,IT,117359,83.0,3
Khalid,30.0,IT,89595,92.0,14
Sara,24.0,IT,84626,72.0,14
Lina,25.0,IT,39200,94.0,9
Lina,31.0,Sales,80469,65.0,11
Hassan,34.0,IT,53031,99.0,1
Zara,29.0,Marketing,33216,89.0,7
Fahad,29.0,Sales,75594,97.0,3
Ali,35.0,IT,30016,75.0,0
Hassan,26.0,HR,56378,60.0,7
Omar,39.0,Finance,61734,77.0,14
Ali,23.0,Finance,108886,81.0,12
Mona,35.0,Finance,44450,85.0,10
Noor,33.0,Sales,31473,73.0,6
Omar,42.0,IT,55525,96.0,2
Omar,24.0,Sales,58572,73.0,2
Hassan,18.0,Marketing,72028,85.0,6
Zara,36.0,HR,67079,95.0,1
Hassan,23.0,HR,88967,82.0,4
Mona,33.0,Finance,82047,61.0,6
Khalid,36.0,Finance,60110,98.0,5
Khalid,32.0,Finance,31946,66.0,9
Zara,31.0,IT,51943,98.0,6
Mona,32.0,Marketing,45740,81.0,14
Zara,34.0,Marketing,104712,87.0,1
Sara,33.0,Marketing,74651,97.0,6
Khalid,24.0,Marketing,67269,79.0,1
Omar,39.0,Finance,107154,77.0,6
Fahad,30.0,HR,68682,83.0,13
Noor,33.0,Finance,54601,92.0,14
Mona,34.0,Marketing,62850,85.0,7
Ali,36.0,Finance,71132,78.0,9
Zara,35.0,Marketing,80150,72.0,7
Noor,31.0,Sales,35804,69.0,4
Ali,30.0,HR,115061,73.0,6
Noor,32.0,Sales,82034,,10
Fahad,36.0,IT,75061,70.0,7
Ali,24.0,Finance,57419,62.0,3
Hassan,33.0,IT,53746,99.0,1
Lina,26.0,Finance,108348,71.0,6
Hassan,39.0,Sales,97581,94.0,12
Khalid,32.0,Marketing,55336,98.0,0
Lina,28.0,Marketing,75952,98.0,11
Hassan,32.0,Finance,77143,91.0,1
Lina,30.0,Marketing,117204,98.0,9
Lina,29.0,Sales,89379,73.0,6
Omar,21.0,Marketing,64320,60.0,11
Zara,25.0,Sales,66516,86.0,11
Zara,29.0,IT,89789,96.0,9
Omar,22.0,Sales,101114,60.0,12
Noor,27.0,HR,91240,88.0,0
Sara,28.0,HR,71798,83.0,6
Noor,26.0,HR,116615,76.0,4
Ali,34.0,Finance,85920,94.0,13
Ali,26.0,Finance,96473,90.0,10
Lina,30.0,Finance,95326,91.0,2
Hassan,,Sales,103131,78.0,10
Hassan,29.0,Finance,30424,90.0,1
Zara,38.0,IT,93874,98.0,14
Mona,31.0,HR,33051,79.0,6
Noor,32.0,Sales,89481,87.0,8
Khalid,26.0,HR,93872,62.0,8
Fahad,33.0,Finance,107774,91.0,14
Hassan,33.0,Sales,57786,81.0,13
Fahad,32.0,Marketing,98230,74.0,9
Lina,24.0,IT,99131,97.0,9
Fahad,27.0,Finance,31267,78.0,7
Khalid,37.0,Finance,95957,90.0,1
Omar,27.0,IT,92645,85.0,0
Khalid,38.0,IT,49650,64.0,7
Fahad,27.0,Marketing,37017,79.0,1
Khalid,31.0,Finance,39849,61.0,3
Sara,29.0,Finance,119049,80.0,11
Lina,26.0,HR,92453,95.0,3
Noor,26.0,Sales,79117,87.0,1
Omar,26.0,Sales,87247,79.0,3
Hassan,31.0,HR,74899,96.0,6
Ali,34.0,Sales,71644,98.0,5
Noor,30.0,IT,97762,95.0,9
Ali,30.0,Sales,34388,70.0,5
Lina,36.0,Sales,97958,,3
Omar,,HR,69994,96.0,1
Zara,27.0,Marketing,104805,79.0,4
Hassan,25.0,Sales,107713,91.0,10
Sara,36.0,Sales,107568,84.0,12
Zara,28.0,Marketing,102852,80.0,2
Lina,27.0,HR,32843,75.0,2
Noor,27.0,Marketing,58015,60.0,3
Sara,36.0,HR,99647,82.0,10
Khalid,27.0,IT,75231,83.0,10
Fahad,35.0,HR,117579,84.0,4
Sara,29.0,IT,76546,66.0,10
Lina,24.0,IT,81055,97.0,1
Mona,28.0,HR,79577,98.0,5
Fahad,30.0,Finance,65169,94.0,14
Ali,,HR,71709,73.0,5
Hassan,29.0,Sales,59415,68.0,7
Ali,28.0,Sales,45685,62.0,1
Sara,26.0,Finance,45963,97.0,7
Ali,30.0,IT,59698,79.0,14
Lina,33.0,Finance,92415,100.0,7
Khalid,23.0,Sales,86400,92.0,3
Noor,36.0,Finance,85450,100.0,6
Hassan,12.0,HR,116962,91.0,14
Ali,30.0,Finance,80711,95.0,12
Ali,32.0,IT,101571,85.0,6
Sara,27.0,HR,102607,64.0,14
Noor,19.0,Marketing,50578,89.0,0
Zara,,Sales,58842,76.0,13
Ali,31.0,Sales,46531,65.0,12
Lina,24.0,Finance,32170,74.0,13
Mona,26.0,HR,37297,60.0,0
Hassan,35.0,Marketing,34163,,7
Ali,31.0,HR,70794,93.0,10
Lina,22.0,Sales,71787,89.0,0
Lina,,HR,87219,78.0,2
Hassan,25.0,Marketing,54448,61.0,5
Zara,26.0,Finance,99152,71.0,7
Lina,31.0,IT,86437,99.0,14
Mona,31.0,HR,58299,83.0,4
Lina,28.0,IT,71119,70.0,4
Lina,,Sales,107093,61.0,3
